file_relpath,file_abspath,status,error,duration_sec,segment_mode,segment_start_sec,segment_end_sec,segment_strategy,segment_drop_seconds,drop_wav_path,top1_style,top1_prob,top2_style,top2_prob,top3_style,top3_prob,top_styles_json
"Afrojack,David Guetta - Hero (DISTO Remix).flac","/Users/apple/Desktop/remixtest/Afrojack,David Guetta - Hero (DISTO Remix).flac",ok,,207.5,drop,63.8,83.8,energy,20.0,,Dubstep,0.7226273417472839,Electro House,0.32884207367897034,Chillwave,0.22377468645572662,"[{""style"": ""Dubstep"", ""prob"": 0.7226273417472839, ""genre"": ""Electronic""}, {""style"": ""Electro House"", ""prob"": 0.32884207367897034, ""genre"": ""Electronic""}, {""style"": ""Chillwave"", ""prob"": 0.22377468645572662, ""genre"": ""Electronic""}, {""style"": ""Bassline"", ""prob"": 0.20324449241161346, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.11794659495353699, ""genre"": ""Electronic""}, {""style"": ""Trap"", ""prob"": 0.09254280477762222, ""genre"": ""Hip Hop""}, {""style"": ""Glitch"", ""prob"": 0.07334698736667633, ""genre"": ""Electronic""}, {""style"": ""Hip Hop"", ""prob"": 0.07198324054479599, ""genre"": ""Electronic""}, {""style"": ""Drum n Bass"", ""prob"": 0.07148780673742294, ""genre"": ""Electronic""}, {""style"": ""Downtempo"", ""prob"": 0.0704214870929718, ""genre"": ""Electronic""}]"
"Atmozfears,OneRepublic - If I Lose Myself (Atmozfears Remix)(Radio Edit) (1).mp3","/Users/apple/Desktop/remixtest/Atmozfears,OneRepublic - If I Lose Myself (Atmozfears Remix)(Radio Edit) (1).mp3",ok,,219.2206875,drop,168.3,188.3,energy,20.0,,Hardstyle,0.9336435198783875,Hardcore,0.17131038010120392,Hands Up,0.1435869336128235,"[{""style"": ""Hardstyle"", ""prob"": 0.9336435198783875, ""genre"": ""Electronic""}, {""style"": ""Hardcore"", ""prob"": 0.17131038010120392, ""genre"": ""Electronic""}, {""style"": ""Hands Up"", ""prob"": 0.1435869336128235, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.07252607494592667, ""genre"": ""Electronic""}, {""style"": ""Happy Hardcore"", ""prob"": 0.06545978039503098, ""genre"": ""Electronic""}, {""style"": ""Jumpstyle"", ""prob"": 0.04416344687342644, ""genre"": ""Electronic""}, {""style"": ""Progressive House"", ""prob"": 0.03808993473649025, ""genre"": ""Electronic""}, {""style"": ""Electro House"", ""prob"": 0.02990580163896084, ""genre"": ""Electronic""}, {""style"": ""Hard Trance"", ""prob"": 0.026651056483387947, ""genre"": ""Electronic""}, {""style"": ""Tropical House"", ""prob"": 0.012296567671000957, ""genre"": ""Electronic""}]"
Black Toys - 5th Symphony (E-Legal Remix) (1).flac,/Users/apple/Desktop/remixtest/Black Toys - 5th Symphony (E-Legal Remix) (1).flac,ok,,136.53975,drop,90.80000000000001,110.80000000000001,energy,20.0,,Hardstyle,0.9272916316986084,Hands Up,0.12962542474269867,Hardcore,0.09847954660654068,"[{""style"": ""Hardstyle"", ""prob"": 0.9272916316986084, ""genre"": ""Electronic""}, {""style"": ""Hands Up"", ""prob"": 0.12962542474269867, ""genre"": ""Electronic""}, {""style"": ""Hardcore"", ""prob"": 0.09847954660654068, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.0814041718840599, ""genre"": ""Electronic""}, {""style"": ""Jumpstyle"", ""prob"": 0.07941093295812607, ""genre"": ""Electronic""}, {""style"": ""Happy Hardcore"", ""prob"": 0.05381525680422783, ""genre"": ""Electronic""}, {""style"": ""Electro House"", ""prob"": 0.0333247184753418, ""genre"": ""Electronic""}, {""style"": ""Hard Trance"", ""prob"": 0.018288103863596916, ""genre"": ""Electronic""}, {""style"": ""Progressive House"", ""prob"": 0.016333185136318207, ""genre"": ""Electronic""}, {""style"": ""Trance"", ""prob"": 0.010944575071334839, ""genre"": ""Electronic""}]"
"Crankdat,The Chainsmokers,Halsey - Closer (Crankdat Re-Crank).flac","/Users/apple/Desktop/remixtest/Crankdat,The Chainsmokers,Halsey - Closer (Crankdat Re-Crank).flac",ok,,303.386,drop,225.9,245.9,energy,20.0,,Dubstep,0.4560816287994385,Glitch,0.38482964038848877,IDM,0.15854401886463165,"[{""style"": ""Dubstep"", ""prob"": 0.4560816287994385, ""genre"": ""Electronic""}, {""style"": ""Glitch"", ""prob"": 0.38482964038848877, ""genre"": ""Electronic""}, {""style"": ""IDM"", ""prob"": 0.15854401886463165, ""genre"": ""Electronic""}, {""style"": ""Drum n Bass"", ""prob"": 0.15619757771492004, ""genre"": ""Electronic""}, {""style"": ""Chillwave"", ""prob"": 0.1525527834892273, ""genre"": ""Electronic""}, {""style"": ""Electro House"", ""prob"": 0.10905011743307114, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.09797532111406326, ""genre"": ""Electronic""}, {""style"": ""Bassline"", ""prob"": 0.09587517380714417, ""genre"": ""Electronic""}, {""style"": ""Hip Hop"", ""prob"": 0.0834207534790039, ""genre"": ""Electronic""}, {""style"": ""Free Funk"", ""prob"": 0.07753408700227737, ""genre"": ""Funk / Soul""}]"
DJ OkeyDokey - baby&失恋阵线联盟（DJ OkeyDokey remix）.flac,/Users/apple/Desktop/remixtest/DJ OkeyDokey - baby&失恋阵线联盟（DJ OkeyDokey remix）.flac,ok,,222.096125,drop,181.10000000000002,201.10000000000002,energy,20.0,,Disco,0.11867231130599976,MPB,0.07513216882944107,Parody,0.07057056576013565,"[{""style"": ""Disco"", ""prob"": 0.11867231130599976, ""genre"": ""Electronic""}, {""style"": ""MPB"", ""prob"": 0.07513216882944107, ""genre"": ""Latin""}, {""style"": ""Parody"", ""prob"": 0.07057056576013565, ""genre"": ""Pop""}, {""style"": ""Euro House"", ""prob"": 0.06658961623907089, ""genre"": ""Electronic""}, {""style"": ""Reggae-Pop"", ""prob"": 0.06335551291704178, ""genre"": ""Reggae""}, {""style"": ""Educational"", ""prob"": 0.06218854710459709, ""genre"": ""Children's""}, {""style"": ""Synth-pop"", ""prob"": 0.060360223054885864, ""genre"": ""Electronic""}, {""style"": ""Pop Rock"", ""prob"": 0.05715367570519447, ""genre"": ""Rock""}, {""style"": ""Italo-Disco"", ""prob"": 0.05540899932384491, ""genre"": ""Electronic""}, {""style"": ""Soundtrack"", ""prob"": 0.05460691824555397, ""genre"": ""Stage & Screen""}]"
DJ OkeyDokey - 有点甜（DJ OkeyDokey remix）.flac,/Users/apple/Desktop/remixtest/DJ OkeyDokey - 有点甜（DJ OkeyDokey remix）.flac,ok,,285.297625,drop,141.70000000000002,161.70000000000002,energy,20.0,,K-pop,0.15605346858501434,Dance-pop,0.12605299055576324,House,0.118868887424469,"[{""style"": ""K-pop"", ""prob"": 0.15605346858501434, ""genre"": ""Pop""}, {""style"": ""Dance-pop"", ""prob"": 0.12605299055576324, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.118868887424469, ""genre"": ""Electronic""}, {""style"": ""Electro"", ""prob"": 0.0833902582526207, ""genre"": ""Electronic""}, {""style"": ""Deep House"", ""prob"": 0.08304495364427567, ""genre"": ""Electronic""}, {""style"": ""Synth-pop"", ""prob"": 0.07778798788785934, ""genre"": ""Electronic""}, {""style"": ""Hip Hop"", ""prob"": 0.076329305768013, ""genre"": ""Electronic""}, {""style"": ""Electro House"", ""prob"": 0.05880938842892647, ""genre"": ""Electronic""}, {""style"": ""J-pop"", ""prob"": 0.05368005856871605, ""genre"": ""Pop""}, {""style"": ""Downtempo"", ""prob"": 0.05227941274642944, ""genre"": ""Electronic""}]"
"Dimitri Vegas & Like Mike,Vini Vici,Timmy Trumpet - Get In trouble (So What) [Timmy Trumpet Remix].flac","/Users/apple/Desktop/remixtest/Dimitri Vegas & Like Mike,Vini Vici,Timmy Trumpet - Get In trouble (So What) [Timmy Trumpet Remix].flac",ok,,149.5385,drop,123.5,143.5,energy,20.0,,Electro House,0.6161772012710571,Trance,0.21202833950519562,Bassline,0.14120016992092133,"[{""style"": ""Electro House"", ""prob"": 0.6161772012710571, ""genre"": ""Electronic""}, {""style"": ""Trance"", ""prob"": 0.21202833950519562, ""genre"": ""Electronic""}, {""style"": ""Bassline"", ""prob"": 0.14120016992092133, ""genre"": ""Electronic""}, {""style"": ""Hands Up"", ""prob"": 0.10864996910095215, ""genre"": ""Electronic""}, {""style"": ""Tech Trance"", ""prob"": 0.10667041689157486, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.09728959947824478, ""genre"": ""Electronic""}, {""style"": ""Progressive House"", ""prob"": 0.08090830594301224, ""genre"": ""Electronic""}, {""style"": ""Hard Trance"", ""prob"": 0.057082414627075195, ""genre"": ""Electronic""}, {""style"": ""Electro"", ""prob"": 0.052439164370298386, ""genre"": ""Electronic""}, {""style"": ""Trap"", ""prob"": 0.037549544125795364, ""genre"": ""Hip Hop""}]"
Dj Snake & Bipolar Sunshine - Paradise (Yaniss Remix) (Intro Dirty) 130.mp3,/Users/apple/Desktop/remixtest/Dj Snake & Bipolar Sunshine - Paradise (Yaniss Remix) (Intro Dirty) 130.mp3,ok,,192.048,drop,134.9,154.9,energy,20.0,,House,0.3147689402103424,Tropical House,0.24116148054599762,Highlife,0.08861490339040756,"[{""style"": ""House"", ""prob"": 0.3147689402103424, ""genre"": ""Electronic""}, {""style"": ""Tropical House"", ""prob"": 0.24116148054599762, ""genre"": ""Electronic""}, {""style"": ""Highlife"", ""prob"": 0.08861490339040756, ""genre"": ""Folk, World, & Country""}, {""style"": ""Dance-pop"", ""prob"": 0.08582216501235962, ""genre"": ""Electronic""}, {""style"": ""African"", ""prob"": 0.06802595406770706, ""genre"": ""Folk, World, & Country""}, {""style"": ""Deep House"", ""prob"": 0.05273440480232239, ""genre"": ""Electronic""}, {""style"": ""Progressive House"", ""prob"": 0.04341084882616997, ""genre"": ""Electronic""}, {""style"": ""UK Garage"", ""prob"": 0.03325425833463669, ""genre"": ""Electronic""}, {""style"": ""Zouk"", ""prob"": 0.031300172209739685, ""genre"": ""Folk, World, & Country""}, {""style"": ""Nu-Disco"", ""prob"": 0.030855869874358177, ""genre"": ""Electronic""}]"
"Farruko ft Bad Bunny, Rvssian & Pitbull - Krippy Kush (Mr. Worldwide Remix) (Intro Dirty).mp3","/Users/apple/Desktop/remixtest/Farruko ft Bad Bunny, Rvssian & Pitbull - Krippy Kush (Mr. Worldwide Remix) (Intro Dirty).mp3",ok,,259.8773125,drop,89.30000000000001,109.30000000000001,energy,20.0,,Trap,0.7271432876586914,Cloud Rap,0.3418109714984894,Reggaeton,0.08878275752067566,"[{""style"": ""Trap"", ""prob"": 0.7271432876586914, ""genre"": ""Hip Hop""}, {""style"": ""Cloud Rap"", ""prob"": 0.3418109714984894, ""genre"": ""Hip Hop""}, {""style"": ""Reggaeton"", ""prob"": 0.08878275752067566, ""genre"": ""Latin""}, {""style"": ""Grime"", ""prob"": 0.04864891991019249, ""genre"": ""Electronic""}, {""style"": ""Gangsta"", ""prob"": 0.03590117767453194, ""genre"": ""Hip Hop""}, {""style"": ""Hardcore Hip-Hop"", ""prob"": 0.026009485125541687, ""genre"": ""Hip Hop""}, {""style"": ""Pop Rap"", ""prob"": 0.02494906075298786, ""genre"": ""Hip Hop""}, {""style"": ""Grime"", ""prob"": 0.02193920500576496, ""genre"": ""Electronic""}, {""style"": ""Trip Hop"", ""prob"": 0.018967026844620705, ""genre"": ""Electronic""}, {""style"": ""Horrorcore"", ""prob"": 0.01643347181379795, ""genre"": ""Hip Hop""}]"
JCDJPooL-tokoy bangbangt.wav,/Users/apple/Desktop/remixtest/JCDJPooL-tokoy bangbangt.wav,ok,,293.5576875,drop,203.3,223.3,energy,20.0,,Trap,0.3350295126438141,Cloud Rap,0.1474868506193161,Pop Rap,0.12833791971206665,"[{""style"": ""Trap"", ""prob"": 0.3350295126438141, ""genre"": ""Hip Hop""}, {""style"": ""Cloud Rap"", ""prob"": 0.1474868506193161, ""genre"": ""Hip Hop""}, {""style"": ""Pop Rap"", ""prob"": 0.12833791971206665, ""genre"": ""Hip Hop""}, {""style"": ""RnB/Swing"", ""prob"": 0.11949797719717026, ""genre"": ""Hip Hop""}, {""style"": ""Grime"", ""prob"": 0.08186318725347519, ""genre"": ""Electronic""}, {""style"": ""Dubstep"", ""prob"": 0.060221534222364426, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.057549167424440384, ""genre"": ""Electronic""}, {""style"": ""Bass Music"", ""prob"": 0.05413264036178589, ""genre"": ""Hip Hop""}, {""style"": ""Hip Hop"", ""prob"": 0.050899963825941086, ""genre"": ""Electronic""}, {""style"": ""Hip-House"", ""prob"": 0.041980594396591187, ""genre"": ""Electronic""}]"
