实际风格,file_relpath,file_abspath,status,error,duration_sec,segment_mode,segment_start_sec,segment_end_sec,segment_strategy,segment_drop_seconds,drop_wav_path,top1_style,top1_prob,top2_style,top2_prob,top3_style,top3_prob,top_styles_json
hardstyle,"Atmozfears,OneRepublic - If I Lose Myself (Atmozfears Remix)(Radio Edit) (1).mp3","/Users/apple/Desktop/remixtest/Atmozfears,OneRepublic - If I Lose Myself (Atmozfears Remix)(Radio Edit) (1).mp3",ok,,219.2206875,drop,168.10000000000002,188.10000000000002,energy,20,,Hardstyle,0.9293412566184998,Hardcore,0.2509065270423889,Hands Up,0.11227449029684067,"[{""style"": ""Hardstyle"", ""prob"": 0.9293412566184998, ""genre"": ""Electronic""}, {""style"": ""Hardcore"", ""prob"": 0.2509065270423889, ""genre"": ""Electronic""}, {""style"": ""Hands Up"", ""prob"": 0.11227449029684067, ""genre"": ""Electronic""}, {""style"": ""Happy Hardcore"", ""prob"": 0.08826028555631638, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.062426578253507614, ""genre"": ""Electronic""}, {""style"": ""Jumpstyle"", ""prob"": 0.0494147352874279, ""genre"": ""Electronic""}, {""style"": ""Progressive House"", ""prob"": 0.028136780485510826, ""genre"": ""Electronic""}, {""style"": ""Electro House"", ""prob"": 0.023832479491829872, ""genre"": ""Electronic""}, {""style"": ""Hard Trance"", ""prob"": 0.017202148213982582, ""genre"": ""Electronic""}, {""style"": ""Electro"", ""prob"": 0.0057679167948663235, ""genre"": ""Electronic""}]"
dubstep,"Afrojack,David Guetta - Hero (DISTO Remix).flac","/Users/apple/Desktop/remixtest/Afrojack,David Guetta - Hero (DISTO Remix).flac",ok,,207.5,drop,63.8,83.8,energy,20,,Dubstep,0.7226273417472839,Electro House,0.32884207367897034,Chillwave,0.22377468645572662,"[{""style"": ""Dubstep"", ""prob"": 0.7226273417472839, ""genre"": ""Electronic""}, {""style"": ""Electro House"", ""prob"": 0.32884207367897034, ""genre"": ""Electronic""}, {""style"": ""Chillwave"", ""prob"": 0.22377468645572662, ""genre"": ""Electronic""}, {""style"": ""Bassline"", ""prob"": 0.20324449241161346, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.11794659495353699, ""genre"": ""Electronic""}, {""style"": ""Trap"", ""prob"": 0.09254280477762222, ""genre"": ""Hip Hop""}, {""style"": ""Glitch"", ""prob"": 0.07334698736667633, ""genre"": ""Electronic""}, {""style"": ""Hip Hop"", ""prob"": 0.07198324054479599, ""genre"": ""Electronic""}, {""style"": ""Drum n Bass"", ""prob"": 0.07148780673742294, ""genre"": ""Electronic""}, {""style"": ""Downtempo"", ""prob"": 0.0704214870929718, ""genre"": ""Electronic""}]"
hardstyle,Black Toys - 5th Symphony (E-Legal Remix) (1).flac,/Users/apple/Desktop/remixtest/Black Toys - 5th Symphony (E-Legal Remix) (1).flac,ok,,136.53975,drop,90.60000000000001,110.60000000000001,energy,20,,Hardstyle,0.8972101211547852,Hands Up,0.14757373929023743,Hardcore,0.09464770555496216,"[{""style"": ""Hardstyle"", ""prob"": 0.8972101211547852, ""genre"": ""Electronic""}, {""style"": ""Hands Up"", ""prob"": 0.14757373929023743, ""genre"": ""Electronic""}, {""style"": ""Hardcore"", ""prob"": 0.09464770555496216, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.09077971428632736, ""genre"": ""Electronic""}, {""style"": ""Jumpstyle"", ""prob"": 0.08895053714513779, ""genre"": ""Electronic""}, {""style"": ""Electro House"", ""prob"": 0.046637069433927536, ""genre"": ""Electronic""}, {""style"": ""Happy Hardcore"", ""prob"": 0.04225975275039673, ""genre"": ""Electronic""}, {""style"": ""Hard Trance"", ""prob"": 0.024712862446904182, ""genre"": ""Electronic""}, {""style"": ""Progressive House"", ""prob"": 0.017081627622246742, ""genre"": ""Electronic""}, {""style"": ""Trance"", ""prob"": 0.014477831311523914, ""genre"": ""Electronic""}]"
future bass,"Crankdat,The Chainsmokers,Halsey - Closer (Crankdat Re-Crank).flac","/Users/apple/Desktop/remixtest/Crankdat,The Chainsmokers,Halsey - Closer (Crankdat Re-Crank).flac",ok,,303.386,drop,226,246,energy,20,,Dubstep,0.420210599899292,Glitch,0.40334662795066833,Chillwave,0.1559509038925171,"[{""style"": ""Dubstep"", ""prob"": 0.420210599899292, ""genre"": ""Electronic""}, {""style"": ""Glitch"", ""prob"": 0.40334662795066833, ""genre"": ""Electronic""}, {""style"": ""Chillwave"", ""prob"": 0.1559509038925171, ""genre"": ""Electronic""}, {""style"": ""IDM"", ""prob"": 0.14162060618400574, ""genre"": ""Electronic""}, {""style"": ""Drum n Bass"", ""prob"": 0.13665993511676788, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.1137053593993187, ""genre"": ""Electronic""}, {""style"": ""Electro House"", ""prob"": 0.09917957335710526, ""genre"": ""Electronic""}, {""style"": ""Bassline"", ""prob"": 0.08370205014944077, ""genre"": ""Electronic""}, {""style"": ""Electro"", ""prob"": 0.08252555876970291, ""genre"": ""Electronic""}, {""style"": ""Hip Hop"", ""prob"": 0.0783502534031868, ""genre"": ""Electronic""}]"
disco,DJ OkeyDokey - baby&失恋阵线联盟（DJ OkeyDokey remix）.flac,/Users/apple/Desktop/remixtest/DJ OkeyDokey - baby&失恋阵线联盟（DJ OkeyDokey remix）.flac,ok,,222.096125,drop,180.8,200.8,energy,20,,Disco,0.10644018650054932,Parody,0.08362597227096558,MPB,0.08165661990642548,"[{""style"": ""Disco"", ""prob"": 0.10644018650054932, ""genre"": ""Electronic""}, {""style"": ""Parody"", ""prob"": 0.08362597227096558, ""genre"": ""Pop""}, {""style"": ""MPB"", ""prob"": 0.08165661990642548, ""genre"": ""Latin""}, {""style"": ""Reggae-Pop"", ""prob"": 0.07172102481126785, ""genre"": ""Reggae""}, {""style"": ""Euro House"", ""prob"": 0.06920550018548965, ""genre"": ""Electronic""}, {""style"": ""Synth-pop"", ""prob"": 0.06604847311973572, ""genre"": ""Electronic""}, {""style"": ""Educational"", ""prob"": 0.06236964464187622, ""genre"": ""Children's""}, {""style"": ""Soundtrack"", ""prob"": 0.055601805448532104, ""genre"": ""Stage & Screen""}, {""style"": ""Italo-Disco"", ""prob"": 0.05406653881072998, ""genre"": ""Electronic""}, {""style"": ""Euro-Disco"", ""prob"": 0.045974016189575195, ""genre"": ""Electronic""}]"
electro Dance-pop,DJ OkeyDokey - 有点甜（DJ OkeyDokey remix）.flac,/Users/apple/Desktop/remixtest/DJ OkeyDokey - 有点甜（DJ OkeyDokey remix）.flac,ok,,285.297625,drop,142.5,162.5,energy,20,,Dance-pop,0.15182390809059143,House,0.12377087026834488,K-pop,0.12188423424959183,"[{""style"": ""Dance-pop"", ""prob"": 0.15182390809059143, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.12377087026834488, ""genre"": ""Electronic""}, {""style"": ""K-pop"", ""prob"": 0.12188423424959183, ""genre"": ""Pop""}, {""style"": ""Deep House"", ""prob"": 0.09792076796293259, ""genre"": ""Electronic""}, {""style"": ""Hip Hop"", ""prob"": 0.08968246728181839, ""genre"": ""Electronic""}, {""style"": ""Electro"", ""prob"": 0.07602798193693161, ""genre"": ""Electronic""}, {""style"": ""Synth-pop"", ""prob"": 0.07314079999923706, ""genre"": ""Electronic""}, {""style"": ""Tropical House"", ""prob"": 0.06114944815635681, ""genre"": ""Electronic""}, {""style"": ""Electro House"", ""prob"": 0.06100732460618019, ""genre"": ""Electronic""}, {""style"": ""Downtempo"", ""prob"": 0.056620191782712936, ""genre"": ""Electronic""}]"
Electro House,"Dimitri Vegas & Like Mike,Vini Vici,Timmy Trumpet - Get In trouble (So What) [Timmy Trumpet Remix].flac","/Users/apple/Desktop/remixtest/Dimitri Vegas & Like Mike,Vini Vici,Timmy Trumpet - Get In trouble (So What) [Timmy Trumpet Remix].flac",ok,,149.5385,drop,123.5,143.5,energy,20,,Electro House,0.6161772012710571,Trance,0.21202833950519562,Bassline,0.14120016992092133,"[{""style"": ""Electro House"", ""prob"": 0.6161772012710571, ""genre"": ""Electronic""}, {""style"": ""Trance"", ""prob"": 0.21202833950519562, ""genre"": ""Electronic""}, {""style"": ""Bassline"", ""prob"": 0.14120016992092133, ""genre"": ""Electronic""}, {""style"": ""Hands Up"", ""prob"": 0.10864996910095215, ""genre"": ""Electronic""}, {""style"": ""Tech Trance"", ""prob"": 0.10667041689157486, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.09728959947824478, ""genre"": ""Electronic""}, {""style"": ""Progressive House"", ""prob"": 0.08090830594301224, ""genre"": ""Electronic""}, {""style"": ""Hard Trance"", ""prob"": 0.057082414627075195, ""genre"": ""Electronic""}, {""style"": ""Electro"", ""prob"": 0.052439164370298386, ""genre"": ""Electronic""}, {""style"": ""Trap"", ""prob"": 0.037549544125795364, ""genre"": ""Hip Hop""}]"
amapiano,Dj Snake & Bipolar Sunshine - Paradise (Yaniss Remix) (Intro Dirty) 130.mp3,/Users/apple/Desktop/remixtest/Dj Snake & Bipolar Sunshine - Paradise (Yaniss Remix) (Intro Dirty) 130.mp3,ok,,192.048,drop,134.9,154.9,energy,20,,House,0.3147689402103424,Tropical House,0.24116148054599762,Highlife,0.08861490339040756,"[{""style"": ""House"", ""prob"": 0.3147689402103424, ""genre"": ""Electronic""}, {""style"": ""Tropical House"", ""prob"": 0.24116148054599762, ""genre"": ""Electronic""}, {""style"": ""Highlife"", ""prob"": 0.08861490339040756, ""genre"": ""Folk, World, & Country""}, {""style"": ""Dance-pop"", ""prob"": 0.08582216501235962, ""genre"": ""Electronic""}, {""style"": ""African"", ""prob"": 0.06802595406770706, ""genre"": ""Folk, World, & Country""}, {""style"": ""Deep House"", ""prob"": 0.05273440480232239, ""genre"": ""Electronic""}, {""style"": ""Progressive House"", ""prob"": 0.04341084882616997, ""genre"": ""Electronic""}, {""style"": ""UK Garage"", ""prob"": 0.03325425833463669, ""genre"": ""Electronic""}, {""style"": ""Zouk"", ""prob"": 0.031300172209739685, ""genre"": ""Folk, World, & Country""}, {""style"": ""Nu-Disco"", ""prob"": 0.030855869874358177, ""genre"": ""Electronic""}]"
trap,"Farruko ft Bad Bunny, Rvssian & Pitbull - Krippy Kush (Mr. Worldwide Remix) (Intro Dirty).mp3","/Users/apple/Desktop/remixtest/Farruko ft Bad Bunny, Rvssian & Pitbull - Krippy Kush (Mr. Worldwide Remix) (Intro Dirty).mp3",ok,,259.8773125,drop,89,109,energy,20,,Trap,0.7496016025543213,Cloud Rap,0.4601585566997528,Reggaeton,0.10456828027963638,"[{""style"": ""Trap"", ""prob"": 0.7496016025543213, ""genre"": ""Hip Hop""}, {""style"": ""Cloud Rap"", ""prob"": 0.4601585566997528, ""genre"": ""Hip Hop""}, {""style"": ""Reggaeton"", ""prob"": 0.10456828027963638, ""genre"": ""Latin""}, {""style"": ""Gangsta"", ""prob"": 0.05211436748504639, ""genre"": ""Hip Hop""}, {""style"": ""Hardcore Hip-Hop"", ""prob"": 0.03553842008113861, ""genre"": ""Hip Hop""}, {""style"": ""Thug Rap"", ""prob"": 0.028359711170196533, ""genre"": ""Hip Hop""}, {""style"": ""Pop Rap"", ""prob"": 0.027648180723190308, ""genre"": ""Hip Hop""}, {""style"": ""Grime"", ""prob"": 0.025113552808761597, ""genre"": ""Electronic""}, {""style"": ""Crunk"", ""prob"": 0.02326158434152603, ""genre"": ""Hip Hop""}, {""style"": ""Conscious"", ""prob"": 0.021211303770542145, ""genre"": ""Hip Hop""}]"
edm trap,"Rihanna,Don Diablo - Love On The Brain (Don Diablo Remix).mp3","/Users/apple/Desktop/remixtest/Rihanna,Don Diablo - Love On The Brain (Don Diablo Remix).mp3",ok,,208.275375,drop,191,208.275375,energy,20,,Drum n Bass,0.22026017308235168,Dubstep,0.17344775795936584,Halftime,0.11030510812997818,"[{""style"": ""Drum n Bass"", ""prob"": 0.22026017308235168, ""genre"": ""Electronic""}, {""style"": ""Dubstep"", ""prob"": 0.17344775795936584, ""genre"": ""Electronic""}, {""style"": ""Halftime"", ""prob"": 0.11030510812997818, ""genre"": ""Electronic""}, {""style"": ""Electro House"", ""prob"": 0.07573936134576797, ""genre"": ""Electronic""}, {""style"": ""Trap"", ""prob"": 0.06620071828365326, ""genre"": ""Hip Hop""}, {""style"": ""Grime"", ""prob"": 0.0633602887392044, ""genre"": ""Electronic""}, {""style"": ""Hip Hop"", ""prob"": 0.05896513909101486, ""genre"": ""Electronic""}, {""style"": ""Grime"", ""prob"": 0.052511174231767654, ""genre"": ""Electronic""}, {""style"": ""Leftfield"", ""prob"": 0.04519186541438103, ""genre"": ""Electronic""}, {""style"": ""House"", ""prob"": 0.03865816444158554, ""genre"": ""Electronic""}]"
